id;nome;data;genero;cpf;salario
1;Giovanna;11/09/1994;F;385.741.058-21;2851
2;Laura;11/24/1986;F;888.763.207-33;4120
3;Paulo;10/25/1960;M;441.418.249-25;5877
4;Matheus;3/20/2000;M;466.303.254-00;1667
5;Thaís;5/13/1976;F;813.029.092-82;6729
6;Fernanda;08/11/1957;F;986.929.500-25;3400
7;Beatrice;04/06/1965;F;322.214.790-68;7690
8;Gabrielly;7/30/1960;F;375.109.730-90;6192
9;Matilde;9/21/1961;F;524.284.232-66;933
10;Matilde;10/12/1950;F;419.592.953-90;429
11;Lavinia;3/19/1969;F;466.388.235-82;2814
12;Lavinia;7/21/1954;F;266.238.488-35;2561
13;Carolina;5/30/1950;F;766.468.233-91;9161
14;Luiza;11/26/1955;F;306.356.250-59;5386
15;Laura;1/19/1950;F;794.099.564-20;8739
16;Guilherme;10/31/1977;M;511.718.029-19;6990
17;Ryan;10/10/1980;M;478.544.485-15;8433
18;Gabrielle;11/27/1957;F;121.757.392-52;7389
19;Breno;11/20/1947;M;819.063.628-66;3878
20;Vitória;05/01/1991;F;108.181.820-40;7565
21;Rebeca;05/04/1988;F;111.487.644-53;3052
22;Clara;01/06/1988;F;181.816.015-30;3425
23;Kaua;10/12/1973;M;841.455.893-35;6415
24;Rebeca;11/08/1949;F;397.937.833-03;3198
25;Gustavo;6/19/1998;M;674.138.589-40;5007
26;Kauan;08/06/1992;M;919.748.701-54;4653
27;Estevan;11/01/1997;M;933.164.379-91;2446
28;Emily;04/09/1986;F;208.111.390-26;1340
29;Evelyn;03/02/1981;F;791.976.236-79;8784
30;Rebeca;11/17/1992;F;919.578.265-68;479
31;Alice;12/14/1968;F;620.790.285-88;1083
32;Igor;7/28/1953;M;248.034.324-30;9966
33;Gustavo;02/02/1992;M;973.467.644-04;6187
34;Marcos;04/09/1980;M;354.850.625-98;9502
35;Fernanda;12/01/1982;F;326.058.887-62;4777
36;Evelyn;12/21/1952;F;277.112.021-64;6804
37;Giovana;11/17/1985;F;170.532.093-77;5432
38;Ana;6/14/1998;F;217.155.214-04;1892
39;Vitor;03/05/1992;M;377.176.040-27;5659
40;Martim;1/23/1970;M;708.901.694-38;2158
41;Lavinia;3/31/1986;F;952.702.825-69;9614
42;Fernanda;2/19/1958;F;698.095.082-71;7917
43;Luiza;11/22/1996;F;743.566.506-11;4388
44;Nicolas;03/11/1958;M;382.160.951-63;7868
45;Kauê;5/22/1965;M;232.635.517-28;1615
46;Sofia;5/26/1992;F;255.804.589-08;2779
47;Thaís;09/12/1980;F;864.605.106-44;7872
48;Leonor;9/28/1970;F;750.045.276-44;2439
49;Tiago;06/02/1958;M;705.927.856-70;463
50;Danilo;3/14/1992;M;754.945.597-00;7816
51;Leila;6/15/1968;F;339.684.070-40;5229
52;Eduarda;1/26/1993;F;631.118.984-40;8971
53;Luiza;5/15/1960;F;573.539.807-53;4488
54;Isabella;01/12/1948;F;934.509.034-70;2302
55;Otávio;9/27/1974;M;763.056.143-18;5510
56;Diego;4/16/1978;M;945.584.837-67;1735
57;Gabrielly;2/26/1992;F;721.687.888-47;4777
58;Murilo;12/24/1996;M;880.031.354-00;4674
59;Murilo;6/21/1967;M;697.095.649-00;3106
60;Julian;10/23/1970;M;878.038.328-90;5670
61;José;7/31/1971;M;751.869.851-04;7163
62;Samuel;10/04/1983;M;739.281.100-20;5744
63;Luiz;4/18/1950;M;215.314.649-63;3562
64;Letícia;01/10/1961;F;954.818.214-94;2915
65;Bruna;11/07/1981;F;149.598.273-43;7804
66;Lavinia;3/29/1956;F;825.234.019-91;8160
67;Nicolas;1/22/1982;M;832.650.210-33;7251
68;Bruna;4/14/1972;F;900.829.810-43;358
69;João;11/29/1990;M;261.117.374-57;1769
70;Rodrigo;12/03/1993;M;857.208.161-51;9321
71;Eduarda;6/17/1983;F;392.566.091-77;6116
72;Vinicius;12/06/1961;M;366.972.354-46;5477
73;Isabelle;02/08/1997;F;139.002.314-19;1598
74;Luan;1/22/1976;M;329.503.115-04;5473
75;Breno;06/04/1973;M;273.483.660-23;4781
76;Ágatha;11/28/1982;F;827.139.941-10;2608
77;João;9/20/1968;M;196.903.689-31;1174
78;Amanda;2/20/1956;F;239.027.286-04;5760
79;Murilo;05/07/1959;M;329.875.310-60;4613
80;Vitór;02/12/1994;M;687.738.171-80;6456
81;Bianca;8/19/1973;F;455.332.175-09;510
82;Marcos;06/05/2002;M;290.958.588-39;1922
83;Kai;12/13/1987;M;597.571.627-60;640
84;Matilde;5/22/1957;F;871.706.626-39;7452
85;Lavinia;01/11/1949;F;692.074.004-48;5792
86;Otávio;9/13/1954;M;658.744.671-06;2241
87;Bruno;06/12/1970;M;598.316.385-06;8325
88;Sofia;12/14/1999;F;846.097.934-23;815
89;Rafael;6/14/2001;M;529.501.500-98;6781
90;Anna;06/09/1948;F;492.478.831-72;5536
91;Marcos;03/07/1948;M;756.655.908-78;5571
92;Breno;11/06/1990;M;142.684.484-03;2002
93;Marcos;11/01/1977;M;582.006.374-09;8854
94;Fernanda;5/19/1966;F;377.567.735-60;8596
95;Carlos;07/11/1999;M;718.880.978-09;1934
96;Rebeca;08/04/1977;F;614.554.162-82;7259
97;Joao;09/08/1967;M;742.954.414-22;9345
98;Eduardo;11/09/1973;M;292.279.850-00;9727
99;Marcos;8/30/1964;M;662.007.113-99;6836
100;Bianca;05/03/1967;F;666.802.693-18;7676
101;Antônio;5/22/1979;M;728.484.779-46;1996
102;Davi;11/05/1958;M;557.681.160-79;3141
103;Kai;09/10/1976;M;443.769.366-34;8997
104;Sofia;1/20/1958;F;312.225.528-68;5935
105;Sofia;7/24/1963;F;706.355.697-52;2001
106;Alice;02/11/1959;F;781.932.005-27;3560
107;Giovana;11/05/1960;F;759.803.633-00;4959
108;Nicolas;09/05/1976;M;958.440.048-76;574
109;Diogo;9/30/1984;M;453.883.247-29;6816
110;Brenda;1/24/1948;F;244.462.789-08;4141
111;Erick;04/02/1988;M;165.236.012-34;6280
112;Julian;06/02/1985;M;528.923.254-04;2826
113;Miguel;08/06/1992;M;379.985.551-30;2844
114;Fábio;11/18/1954;M;115.699.047-58;9342
115;Vitor;11/13/1949;M;484.791.089-32;3696
116;Manuela;11/05/1989;F;958.197.181-51;8685
117;Murilo;9/29/1987;M;128.533.086-26;4737
118;Matheus;3/24/1988;M;621.892.673-74;7241
119;Tânia;6/30/1948;F;230.803.924-85;882
120;Matheus;8/20/2001;M;512.280.411-72;8775
121;Anna;9/25/1987;F;440.995.458-06;4587
122;Antônio;04/04/1984;M;833.926.172-02;9094
123;Amanda;5/14/1999;F;872.430.083-72;3613
124;Marina;06/03/1984;F;303.561.181-50;4658
125;Sarah;4/13/1981;F;346.852.856-62;865
126;Isabella;09/05/1993;F;735.682.952-53;6864
127;Victor;6/30/1968;M;177.810.448-78;5711
128;Sofia;1/17/1954;F;958.139.554-70;7086
