pessoa_id;telefone_principal;telefone_secundario
1;(19) 8187-3586;(62) 8839-7104
2;(11) 3313-3236;(41) 5625-9597
3;(35) 4498-2678;(21) 9446-7240
4;(21) 7059-7159;(71) 7341-2379
5;(84) 7514-8866;(48) 8111-9718
6;(16) 8260-6159;(17) 8719-7915
7;(21) 6482-6784;(11) 7706-4554
8;(21) 9738-9300;(27) 3909-3263
9;(16) 4038-2484;(92) 3956-2978
10;(61) 8111-3704;(27) 6482-7952
11;(18) 5555-4866;(84) 7480-6791
12;(11) 7439-4001;(64) 5484-6242
13;(11) 6654-3854;(33) 3745-9692
14;(16) 9701-4464;(11) 4790-7861
15;(94) 3304-5332;(81) 6135-9754
16;(19) 4795-9876;(71) 6425-2814
17;(31) 7500-5185;(27) 8183-3669
18;(14) 2259-7087;(62) 3216-2579
19;(22) 2147-3328;(43) 4429-5772
20;(44) 9781-7387;(51) 8552-7816
21;(48) 4260-6885;(27) 8077-5427
22;(14) 2148-2822;(51) 6158-6741
23;(16) 2252-6475;(11) 2933-4820
24;(73) 8873-8931;(61) 3867-5097
25;(11) 8399-9594;(11) 6124-8014
26;(81) 5915-4246;(31) 6661-9408
27;(48) 8489-7819;(53) 7185-5624
28;(87) 3921-2033;(71) 5420-4107
29;(71) 5875-2290;(82) 6171-6319
30;(19) 3509-9202;(21) 2597-3591
31;(41) 8600-9132;(31) 9298-4086
32;(21) 5761-5217;(11) 6737-2151
33;(47) 7109-7151;(31) 3742-6286
34;(11) 6155-6533;(35) 9431-5267
35;(11) 3796-9769;(34) 4338-3298
36;(31) 7918-5727;(11) 2711-3763
37;(61) 3824-4348;(11) 8105-8508
38;(51) 6283-2268;(86) 6705-7109
39;(19) 4818-9533;(11) 3249-7626
40;(21) 8037-7756;(21) 3817-9029
41;(81) 5309-9926;(31) 2302-7728
42;(34) 7611-5831;(86) 2095-6575
43;(55) 9793-2542;(21) 9417-6248
44;(47) 5250-9194;(62) 8465-7176
45;(51) 2047-5088;(51) 6342-8181
46;(13) 4551-8350;(61) 5311-9297
47;(11) 4630-9355;(21) 6790-9219
48;(21) 8376-8979;(11) 8505-4178
49;(45) 2270-2066;(11) 7218-8238
50;(48) 3328-5575;(11) 7963-5799
51;(15) 6035-6192;(44) 7809-8346
52;(55) 2337-6014;(61) 8493-7144
53;(91) 4778-2691;(11) 2170-9817
54;(27) 4383-3910;(63) 5527-5529
55;(85) 6124-8271;(24) 4055-3359
56;(61) 3588-6548;(12) 9647-5618
57;(15) 4851-7155;(11) 9757-2039
58;(63) 2935-9217;(65) 3319-9872
59;(11) 2978-5711;(34) 9229-2888
60;(73) 8372-5198;(51) 7892-7152
61;(31) 4531-5962;(11) 8835-3572
62;(21) 8831-8525;(19) 5467-8534
63;(41) 5750-3763;(67) 3444-9716
64;(51) 5812-5130;(62) 2381-2273
65;(61) 8156-8879;(11) 4079-6290
